Name,LiquidationFee,ListingDate,MaxPrice,MinPrice,TickSize,MaxQuantity,MinQuantity,StepSize,PricePrecision,QuantityPrecision,UnderlyingType
GLMUSDT,0.015000,2024-02-22 목 오전 10:00:00,200,0.0001000,0.0001000,1000000,1,1,7,0,Coin
PORTALUSDT,0.015000,2024-02-29 목 오후 3:00:00,2000,0.0001000,0.0001000,1000000,0.1,0.1,7,0,Coin
TONUSDT,0.015000,2024-03-01 금 오후 12:30:00,2000,0.0001000,0.0001000,1000000,0.1,0.1,7,0,Coin
AXLUSDT,0.015000,2024-03-01 금 오후 3:30:00,2000,0.0001000,0.0001000,1000000,0.1,0.1,7,0,Coin
MYROUSDT,0.015000,2024-03-05 화 오전 8:30:00,200,0.0000100,0.0000100,100000000,1,1,7,0,Coin
METISUSDT,0.015000,2024-03-12 화 오전 8:30:00,2000,0.0100,0.0100,100000,0.01,0.01,4,0,Coin
AEVOUSDT,0.015000,2024-03-13 수 오후 1:30:00,2000,0.0100000,0.0001000,1000000,0.1,0.1,7,0,Coin
VANRYUSDT,0.015000,2024-03-13 수 오후 5:30:00,200,0.0000100,0.0000100,10000000,1,1,7,0,Coin
BOMEUSDT,0.015000,2024-03-16 토 오후 12:30:00,200,0.0000010,0.0000010,200000000,1,1,7,0,Coin
ETHFIUSDT,0.015000,2024-03-18 월 오후 3:30:00,2000,0.0010000,0.0010000,1000000,0.1,0.1,7,0,Coin
ENAUSDT,0.015000,2024-04-02 화 오후 12:30:00,200,0.0010000,0.0001000,1000000,1,1,7,0,Coin
WUSDT,0.015000,2024-04-03 수 오후 3:30:00,2000,0.0010000,0.0001000,1000000,0.1,0.1,7,0,Coin
TNSRUSDT,0.015000,2024-04-08 월 오후 5:00:00,2000,0.0010000,0.0001000,1000000,0.1,0.1,7,0,Coin
SAGAUSDT,0.007500,2024-04-09 화 오전 10:30:00,2000,0.0001000,0.0001000,1000000,0.1,0.1,7,0,Coin
TAOUSDT,0.015000,2024-04-11 목 오후 2:30:00,100000,0.01,0.01,300,0.001,0.001,2,0,Coin
OMNIUSDT,0.015000,2024-04-17 수 오후 2:00:00,100000,0.0100,0.0010,100000,0.01,0.01,4,0,Coin
REZUSDT,0.015000,2024-04-30 화 오후 2:00:00,200,0.0001000,0.0000100,10000000,1,1,7,0,Coin
BBUSDT,0.015000,2024-05-13 월 오후 12:30:00,200,0.0001000,0.0001000,1000000,1,1,7,0,Coin
NOTUSDT,0.015000,2024-05-16 목 오후 2:00:00,200,0.0000010,0.0000010,30000000,1,1,7,0,Coin
TURBOUSDT,0.015000,2024-05-30 목 오후 3:30:00,200,0.0000010,0.0000010,50000000,1,1,7,0,Coin
IOUSDT,0.015000,2024-06-11 화 오후 2:00:00,2000,0.0010000,0.0010000,1000000,0.1,0.1,7,0,Coin
ZKUSDT,0.015000,2024-06-17 월 오전 11:00:00,200,0.0001000,0.0000100,1000000,1,1,7,0,Coin
MEWUSDT,0.015000,2024-06-17 월 오후 2:00:00,200,0.0000010,0.0000010,50000000,1,1,7,0,Coin
LISTAUSDT,0.015000,2024-06-20 목 오후 12:30:00,200,0.0001000,0.0001000,1000000,1,1,7,0,Coin
ZROUSDT,0.015000,2024-06-20 목 오후 2:30:00,2000,0.0010000,0.0010000,1000000,0.1,0.1,7,0,Coin
RENDERUSDT,0.015000,2024-07-26 금 오전 10:00:00,2000,0.0010000,0.0010000,1000000,0.1,0.1,7,0,Coin
